Country code,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind,ISO3,ISO2
JPN,0.0166869026493571,0.1735002023598269,0.265278166931291,0.0878552971576227,0.1029855857538681,0.0663428909436194,0.0,0.2710687712088664,0.016282182995548,JPN,JP
JOR,0.0014064697609001,0.0,0.5625879043600563,0.0,0.0,0.0731364275668073,0.0,0.2770745428973277,0.0857946554149085,JOR,JO
KAZ,0.0004288164665523,0.5827615780445969,0.1745283018867924,0.1243567753001715,0.0,0.0,0.0,0.0561749571183533,0.0617495711835334,KAZ,KZ
KEN,0.0302114803625377,0.0,0.0,0.2598187311178248,0.0,0.1722054380664652,0.2960725075528701,0.1087613293051359,0.1329305135951661,KEN,KE
KIR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KIR,KI
PRK,0.0,0.4028605482717521,0.0,0.5828367103694875,0.0,0.0,0.0,0.0143027413587604,0.0,PRK,KP
XKX,0.0,0.8269230769230769,0.0,0.0705128205128205,0.0,0.0,0.0,0.0128205128205128,0.0897435897435897,XKX,
KWT,0.0,0.0,0.5756530310497782,0.0,0.0,0.4189255791030064,0.0,0.0049285362247412,0.0004928536224741,KWT,KW
KGZ,0.0,0.2256267409470752,0.0,0.7743732590529248,0.0,0.0,0.0,0.0,0.0,KGZ,KG
LAO,0.0094017094017094,0.1606837606837606,0.0,0.8247863247863247,0.0,0.0,0.0,0.0051282051282051,0.0,LAO,LA
LVA,0.0449826989619377,0.0,0.3633217993079585,0.5432525951557093,0.0,0.0,0.0,0.0,0.0484429065743944,LVA,LV
LBN,0.0030211480362537,0.0,0.3625377643504531,0.0845921450151057,0.0,0.2870090634441087,0.0,0.2628398791540785,0.0,LBN,LB
LSO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,LSO,LS
LBR,0.0,0.0,0.0,0.4736842105263157,0.0,0.5263157894736842,0.0,0.0,0.0,LBR,LR
LBY,0.0,0.0,0.8676585747846516,0.0,0.0,0.1315583398590446,0.0,0.0007830853563038,0.0,LBY,LY
LTU,0.0445434298440979,0.0,0.3786191536748329,0.0267260579064587,0.0,0.0,0.0044543429844097,0.2583518930957683,0.2873051224944321,LTU,LT
LUX,0.1034482758620689,0.0,0.0919540229885057,0.0344827586206896,0.0,0.0114942528735632,0.0114942528735632,0.4942528735632184,0.2528735632183908,LUX,LU
MAC,0.0,0.0,0.3414634146341463,0.0,0.0,0.6585365853658537,0.0,0.0,0.0,MAC,MO
MDG,0.0,0.1379310344827586,0.0,0.2183908045977011,0.0,0.5747126436781609,0.0,0.0689655172413793,0.0,MDG,MG
MWI,0.0277777777777777,0.0,0.0,0.5416666666666667,0.0,0.1805555555555555,0.0,0.25,0.0,MWI,MW
MYS,0.0217443827011355,0.3208504469678666,0.4281227349601352,0.1500362406378352,0.0,0.0326165740517033,0.0,0.0466296206813239,0.0,MYS,MY
MDV,0.0,0.0,0.0806451612903225,0.0,0.0,0.8548387096774193,0.0,0.064516129032258,0.0,MDV,MV
MLI,0.036036036036036,0.0,0.0,0.4144144144144144,0.0,0.4594594594594594,0.0,0.09009009009009,0.0,MLI,ML
MLT,0.0,0.0,0.4615384615384615,0.0,0.0,0.2435897435897435,0.0,0.2948717948717949,0.0,MLT,MT
MTQ,0.0888888888888888,0.0,0.0,0.0,0.0,0.7111111111111111,0.0,0.1777777777777777,0.0222222222222222,MTQ,MQ
MRT,0.0,0.0,0.3333333333333333,0.0,0.0,0.4444444444444444,0.0,0.1666666666666666,0.0555555555555555,MRT,MR
MUS,0.0978260869565217,0.2065217391304347,0.0,0.0652173913043478,0.0,0.5,0.0,0.1195652173913043,0.0108695652173913,MUS,MU
MEX,0.0080689029918404,0.0487760652765185,0.4075249320036265,0.1205802357207615,0.0145965548504079,0.2351767905711695,0.0,0.098912058023572,0.0663644605621033,MEX,MX
MDA,0.0064724919093851,0.5177993527508091,0.3818770226537217,0.0194174757281553,0.0,0.0,0.0,0.029126213592233,0.0453074433656957,MDA,MD
MNG,0.0,0.7661290322580645,0.0,0.0241935483870967,0.0,0.0080645161290322,0.0,0.0725806451612903,0.1290322580645161,MNG,MN
MNE,0.0,0.2037037037037037,0.0,0.648148148148148,0.0,0.0,0.0,0.037037037037037,0.1111111111111111,MNE,ME
MSR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MSR,MS
MAR,0.0009737098344693,0.4148003894839338,0.0847127555988315,0.127555988315482,0.0,0.1002921129503408,0.0,0.0905550146056475,0.181110029211295,MAR,MA
MOZ,0.0233333333333333,0.0,0.22,0.73,0.0,0.0,0.0,0.0266666666666666,0.0,MOZ,MZ
MMR,0.0089020771513353,0.0281899109792284,0.4510385756676557,0.4851632047477744,0.0,0.0,0.0,0.0267062314540059,0.0,MMR,MM
NAM,0.0,0.1666666666666666,0.0,0.4861111111111111,0.0,0.0833333333333333,0.0,0.25,0.0138888888888888,NAM,
NRU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NRU,NR
NPL,0.0042194092827004,0.0,0.0,0.928270042194093,0.0,0.0210970464135021,0.0,0.0464135021097046,0.0,NPL,NP
NLD,0.0096791539702455,0.0627352572145545,0.2853557985302025,0.0007169743681663,0.0091414231941208,0.0041226026169564,0.0071697436816633,0.4283921849793869,0.1926868614447033,NLD,NL
NCL,0.0,0.2781954887218045,0.0,0.0601503759398496,0.0,0.4812030075187969,0.0,0.1353383458646616,0.0451127819548872,NCL,NC
NZL,0.0130597014925373,0.0466417910447761,0.1791044776119403,0.5298507462686567,0.0,0.0,0.0979477611940298,0.0345149253731343,0.0988805970149253,NZL,NZ
NIC,0.1818181818181818,0.0,0.0,0.1322314049586777,0.0,0.371900826446281,0.140495867768595,0.0165289256198347,0.1570247933884297,NIC,NI
NER,0.0,0.0,0.0425531914893617,0.0,0.0,0.8297872340425532,0.0,0.1276595744680851,0.0,NER,NE
NGA,0.0013745704467353,0.0192439862542955,0.7759450171821306,0.1958762886597938,0.0,0.0,0.0,0.0075601374570446,0.0,NGA,NG
